Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
1.3600000143051147,0.9200000166893005,15.0,0.0,1.4137887954711914,0.000244798167841509,1.0,0.9998896718025208,0.9998896718025208,0.9998896718025208,7.797169382683933e-05,0.0,0.9948713779449463,50000.0,0.0011787842959165573,0.0011787842959165573,4.577636936176077e-09,3.1124019622802734,3.1124019622802734,0.7196442484855652,0.08042194694280624,0.08042194694280624,-0.2861226499080658,17.380542755126953,15.742013931274414,1.6382818222045898,17.380308151245117,2876.819091796875,3.303378105163574,0.3792620003223419,0.029027355834841728,0.0018327829893678427,0.19714513421058655,1.0,0.014190359972417355,0.0015315242344513535,-13052.4423828125,0.0018327829893678427,0.0001245768798980862,5.1505187002476305e-05,0.0,19.70368003845215,0.0
2.0399999618530273,0.9800000190734863,15.0,1.0,1.413163661956787,0.0004101246304344386,1.0,0.9998975396156311,0.9998975396156311,0.9998975396156311,7.257709512487054e-05,0.0,0.994610607624054,100000.0,7.895829185144976e-05,-0.0010998260040651076,0.0,3.010293960571289,-0.10210800170898438,3.0935850143432617,0.0554855577647686,-0.024936389178037643,2.6733336448669434,34.97560501098633,15.967330932617188,1.6128027439117432,17.58014678955078,2844.117431640625,5.074711799621582,0.32798296213150024,0.03877396881580353,0.0007766075432300568,0.17651018500328064,2.0,0.012980694882571697,0.0007671573548577726,-35175.56640625,0.0007766075432300568,1.4423878383240663e-05,2.2005269784131087e-05,0.0,30.140674591064453,0.0
3.440000057220459,0.8799999952316284,15.0,2.0,1.4136146306991577,0.0003188132541254163,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896,3.7205976695986465e-05,0.0,0.9950424432754517,150000.0,-8.669613453093916e-05,-0.00016565442638238892,-2.4414061883248905e-09,2.9808502197265625,-0.029443740844726562,4.866886138916016,0.0528305359184742,-0.002655021846294403,4.029610633850098,52.160343170166016,15.49073314666748,1.6785469055175781,17.169294357299805,2912.17578125,3.7122509479522705,0.2912449240684509,0.0340048186480999,0.0014512836933135986,0.19152392446994781,2.0,0.017091114073991776,0.001447210437618196,-16650.31640625,0.0014512836933135986,1.2199787306599319e-05,3.6529800127027556e-05,0.0,23.395477294921875,0.0
3.5,0.8799999952316284,15.0,3.0,1.4009073972702026,0.00037444313056766987,1.0,1.000370740890503,1.000370740890503,1.000370740890503,0.00021928164642304182,0.0,0.9822481870651245,200000.0,0.0010353989200666547,0.0011220950545975938,9.15527320621834e-10,2.856968641281128,-0.12388157844543457,6.047633647918701,0.05187765508890152,-0.0009528808295726776,4.060492992401123,69.27133178710938,15.309101104736328,1.7878258228302002,17.096942901611328,2924.499755859375,3.895411491394043,0.27267521619796753,0.03654232993721962,0.0013180139940232038,0.2242698073387146,3.0,0.008803128264844418,0.0011678037699311972,-19280.65234375,0.0013180139940232038,6.884672620799392e-05,3.154491423629224e-05,0.0,25.175695419311523,0.0
3.299999952316284,0.9399999976158142,15.0,4.0,1.4136743545532227,0.000232769685680978,1.0,0.999127209186554,0.999127209186554,0.999127209186554,0.000617170357145369,0.0,0.9961643815040588,250000.0,0.0012607958633452654,0.0002253969432786107,7.629394338515283e-10,2.8414268493652344,-0.015541791915893555,6.68227481842041,0.04991144686937332,-0.0019662082195281982,3.630391836166382,88.51020050048828,17.62824249267578,1.597297191619873,19.225553512573242,2600.70556640625,3.943455219268799,0.3267723619937897,0.08463023602962494,0.0012860943097621202,0.153351828455925,1.0,0.015850814059376717,0.001280218013562262,-22765.251953125,0.0012860943097621202,1.3495660823537037e-05,3.098457818850875e-05,0.0,25.402246475219727,0.0
2.680000066757202,0.9599999785423279,15.0,5.0,1.3850122690200806,0.00023469554434996098,1.0,1.0000053644180298,1.0000053644180298,1.0000053644180298,3.879341875290265e-06,0.0,0.9686917662620544,300000.0,0.0010640390682965517,-0.00019675679504871368,-2.0599364436435508e-09,3.0275375843048096,0.1861107349395752,6.965787410736084,0.04885856434702873,-0.0010528825223445892,3.0637903213500977,105.89753723144531,15.663826942443848,1.710287094116211,17.37413215637207,2877.841796875,2.907670736312866,0.4445258378982544,0.03678581863641739,0.0023655802942812443,0.2696855664253235,1.0,0.012676429003477097,0.002235298277810216,-30134.72265625,0.0023655802942812443,5.654667256749235e-05,2.453309753036592e-05,0.0,28.54633140563965,0.0
1.840000033378601,0.8999999761581421,15.0,6.0,1.3443107604980469,0.0002125451574102044,1.0,0.9993265271186829,0.9993265271186829,0.9993265271186829,0.00047620318946428597,0.0,0.9294968247413635,350000.0,0.0004724282771348953,-0.0005916107911616564,5.798340030338522e-09,2.881657600402832,-0.14587998390197754,7.0772223472595215,0.04858648404479027,-0.00027208030223846436,2.5437378883361816,122.77345275878906,15.2660551071167,1.5955259799957275,16.861600875854492,2965.317626953125,3.279416084289551,0.4405719041824341,0.03880760446190834,0.0018596644513309002,0.2053196281194687,1.0,0.009098063223063946,0.0018176855519413948,-7744.9775390625,0.0018596644513309002,5.8897247072309256e-05,8.26239847810939e-05,0.0,15.557351112365723,0.0
3.259999990463257,0.9200000166893005,15.0,7.0,1.3288575410842896,0.00030552668613381684,1.0,0.9995085597038269,0.9995085597038269,0.9995085597038269,0.000347514811437577,0.0,0.9152392745018005,400000.0,0.0005041154799982905,3.1687202863395214e-05,3.9672851670502496e-09,2.7054786682128906,-0.1761789321899414,7.0619797706604,0.048453569412231445,-0.00013291463255882263,2.1477553844451904,139.33680725097656,15.073552131652832,1.4755778312683105,16.549144744873047,3021.30419921875,3.244598865509033,0.2954816222190857,0.018044713884592056,0.0018997902516275644,0.17272619903087616,1.0,0.012818622402846813,0.0016538851195946336,-19848.91796875,0.0018997902516275644,9.127020894084126e-05,3.386586831766181e-05,0.0,24.297958374023438,0.0
4.579999923706055,0.8600000143051147,15.0,8.0,1.3109140396118164,0.00031154268071986735,1.0,1.0003341436386108,1.0003341436386108,1.0003341436386108,0.0002361909719184041,0.0,0.9004586338996887,450000.0,0.0018250832799822092,0.0013209677999839187,7.629394338515283e-10,3.030071496963501,0.32459282875061035,6.965452671051025,0.049057669937610626,0.0006041005253791809,1.8743631839752197,156.81228637695312,15.826216697692871,1.6350719928741455,17.461307525634766,2863.47412109375,3.0977954864501953,0.47182899713516235,0.05912965163588524,0.0020841185469180346,0.2749790549278259,1.0,0.021442871540784836,0.0015291309682652354,-8679.16015625,0.0020841185469180346,0.00019218340457882732,6.654007302131504e-05,0.0,17.335674285888672,0.0
1.3600000143051147,0.9200000166893005,15.0,9.0,1.2835108041763306,0.00031396897975355387,1.0,0.9997162222862244,0.9997162222862244,0.9997162222862244,0.00020067518926225603,0.0,0.876633882522583,500000.0,0.0013277127873152494,-0.0004973704926669598,-1.0681152629032908e-09,2.8505468368530273,-0.17952466011047363,6.8534770011901855,0.04994652420282364,0.0008888542652130127,1.7092487812042236,174.2680206298828,15.486196517944336,1.9558367729187012,17.442060470581055,2866.6337890625,3.0038504600524902,0.4543689787387848,0.08086993545293808,0.002216518856585026,0.23787356913089752,1.0,0.016068702563643456,0.001680640853010118,-15898.501953125,0.002216518856585026,0.0001505457330495119,4.228324178257026e-05,0.0,21.74600601196289,0.0
